,PRODUCT,Coal and coal products,Peat and peat products,Oil shale and oil sands,"Crude, NGL and feedstocks",Oil products,Natural gas,Nuclear,Hydro,Geothermal,Solar/wind/other,Biofuels and waste,Heat production from non-specified combustible fuels,Electricity,Heat,Total,Memo: Renewables,"Memo: Coal, peat and oil shale",Memo: Primary and secondary oil,"Memo: Geothermal, solar/wind/other, heat, electricity"
FLOW,TIME
Exports,2006,-1382,0,0,0,-10101,0,0,0,0,0,-1,0,0,0,-11484,-1,-1382,-10101,0
Exports,2007,-975,0,0,0,-14595,0,0,0,0,0,-2,0,0,0,-15571,-2,-975,-14595,0
Exports,2008,-669,0,0,0,-19663,0,0,0,0,0,-2,0,0,0,-20333,-2,-669,-19663,0
Exports,2009,-749,0,0,0,-17363,0,0,0,0,0,-1,0,0,0,-18113,-1,-749,-17363,0
Exports,2010,-472,0,0,0,-17459,0,0,0,0,0,-1,0,0,0,-17932,-1,-472,-17459,0
Exports,2011,-703,0,0,0,-13929,0,0,0,0,0,-2,0,0,0,-14634,-2,-703,-13929,0
Exports,2012,-1044,0,0,0,-13051,0,0,0,0,0,-2,0,0,0,-14096,-2,-1044,-13051,0
Exports,2013,-853,0,0,0,-16996,0,0,0,0,0,-2,0,0,0,-17852,-2,-853,-16996,0
Exports,2014,-354,0,0,0,-15841,0,0,0,0,0,-3,0,0,0,-16197,-3,-354,-15841,0
Exports,2015,-551,0,0,0,-18459,0,0,0,0,0,-1,0,0,0,-19011,-1,-551,-18459,0
Exports,2016,-719,0,0,0,-18502,0,0,0,0,0,-1,0,0,0,-19222,-1,-719,-18502,0
Exports,2017,-862,0,0,0,-17663,0,0,0,0,0,-1,0,0,0,-18526,-1,-862,-17663,0
Exports,2018,-1015,0,0,0,-17708,0,0,0,0,0,-1,0,0,0,-18724,-1,-1015,-17708,0
Exports,2019,-1108,0,0,0,-19084,0,0,0,0,0,-1,0,0,0,-20192,-1,-1108,-19084,0
Exports,2020,-2255,0,0,0,-9621,0,0,0,0,0,-1,0,0,0,-11877,-1,-2255,-9621,0
Exports,2021,-1584,0,0,0,-13037,0,0,0,0,0,-1,0,0,0,-14622,-1,-1584,-13037,0
International marine bunkers,1960,0,0,0,0,-1628,0,0,0,0,0,0,0,0,0,-1628,0,0,-1628,0
International marine bunkers,1961,0,0,0,0,-1933,0,0,0,0,0,0,0,0,0,-1933,0,0,-1933,0
International marine bunkers,1962,0,0,0,0,-2035,0,0,0,0,0,0,0,0,0,-2035,0,0,-2035,0
International marine bunkers,1963,0,0,0,0,-3765,0,0,0,0,0,0,0,0,0,-3765,0,0,-3765,0
International marine bunkers,1964,0,0,0,0,-5291,0,0,0,0,0,0,0,0,0,-5291,0,0,-5291,0
International marine bunkers,1965,0,0,0,0,-6817,0,0,0,0,0,0,0,0,0,-6817,0,0,-6817,0
International marine bunkers,1966,0,0,0,0,-9056,0,0,0,0,0,0,0,0,0,-9056,0,0,-9056,0
